% CrIS April 2009 fast model
% by Scott Hannon/Larrabee Strow @ UMBC
%
% RMS and bias errors for the 48 training
% profiles at 5 angles each.
%    dBT = BT_truth - BT_fastmodel
%    RMS = sqrt(mean(dBT.^2))
%    bias = mean(dBT)
% No reflected thermal or solar radiance
% contributions. Standard/default trace gas
% amounts. 
%
% Units:
%    frequency in wavenumber
%    mean BT, RMS, and bias in Kelvin
%
% ID     freq    mean BT     RMS        bias
%----  --------  -------   ---------  ----------
    1   650.000  224.669   2.046E-02   9.842E-04
    2   650.625  223.913   1.904E-02   9.825E-04
    3   651.250  220.998   1.309E-02  -6.078E-04
    4   651.875  223.136   1.462E-02   1.357E-04
    5   652.500  221.694   1.342E-02  -2.785E-04
    6   653.125  222.229   1.550E-02  -4.850E-04
    7   653.750  222.799   1.314E-02   2.592E-04
    8   654.375  221.019   1.352E-02  -1.519E-03
    9   655.000  223.425   1.271E-02   1.411E-04
   10   655.625  221.640   1.288E-02  -1.503E-03
   11   656.250  222.872   1.343E-02   1.618E-03
   12   656.875  222.912   1.541E-02   2.728E-03
   13   657.500  221.631   1.235E-02   1.311E-03
   14   658.125  223.406   1.555E-02  -2.275E-03
   15   658.750  221.095   1.158E-02   6.022E-04
   16   659.375  222.571   1.583E-02   1.747E-03
   17   660.000  222.238   1.318E-02   1.942E-03
   18   660.625  221.183   1.426E-02  -7.158E-04
   19   661.250  222.720   1.298E-02  -6.742E-04
   20   661.875  222.766   1.671E-02  -3.124E-03
   21   662.500  228.899   2.035E-02   3.401E-04
   22   663.125  228.753   1.990E-02   3.016E-05
   23   663.750  224.422   1.900E-02   3.021E-03
   24   664.375  224.521   1.694E-02   2.771E-03
   25   665.000  224.676   1.486E-02   7.906E-05
   26   665.625  222.901   1.409E-02   2.909E-04
   27   666.250  220.899   1.014E-02   1.635E-03
   28   666.875  227.298   1.887E-02   4.046E-03
   29   667.500  241.721   2.229E-02  -3.961E-03
   30   668.125  247.012   2.621E-02  -7.407E-03
   31   668.750  241.865   3.824E-02  -1.550E-03
   32   669.375  235.566   3.449E-02  -2.960E-03
   33   670.000  229.278   3.158E-02   9.174E-04
   34   670.625  224.583   2.913E-02  -6.854E-03
   35   671.250  225.245   2.361E-02   1.031E-03
   36   671.875  222.520   2.047E-02  -3.656E-03
   37   672.500  223.417   1.819E-02   4.106E-03
   38   673.125  224.367   1.841E-02  -7.138E-04
   39   673.750  221.919   1.248E-02   8.173E-04
   40   674.375  224.657   1.731E-02  -3.776E-03
   41   675.000  222.355   1.358E-02   6.928E-04
   42   675.625  223.216   1.538E-02  -1.180E-03
   43   676.250  224.397   1.569E-02   1.220E-03
   44   676.875  221.658   1.304E-02  -9.296E-04
   45   677.500  224.674   1.468E-02  -8.026E-04
   46   678.125  222.636   1.480E-02  -5.081E-04
   47   678.750  223.160   1.780E-02   5.382E-03
   48   679.375  224.879   2.702E-02   8.863E-03
   49   680.000  221.557   1.510E-02   3.460E-03
   50   680.625  224.426   1.644E-02  -3.082E-03
   51   681.250  222.631   1.431E-02  -1.016E-04
   52   681.875  222.023   1.583E-02  -4.994E-04
   53   682.500  224.158   1.585E-02  -2.040E-04
   54   683.125  220.776   1.538E-02  -9.192E-04
   55   683.750  223.197   1.431E-02  -1.587E-03
   56   684.375  222.279   1.541E-02  -8.373E-04
   57   685.000  220.743   1.298E-02  -2.164E-03
   58   685.625  223.302   1.520E-02   1.999E-03
   59   686.250  220.184   1.329E-02  -4.807E-03
   60   686.875  221.394   1.342E-02   1.581E-03
   61   687.500  221.428   1.242E-02  -3.393E-03
   62   688.125  219.726   1.820E-02   2.195E-03
   63   688.750  223.216   3.020E-02  -2.476E-04
   64   689.375  221.524   3.407E-02   3.802E-03
   65   690.000  221.184   1.890E-02  -4.182E-04
   66   690.625  221.522   1.576E-02   1.362E-03
   67   691.250  219.105   1.271E-02  -1.376E-03
   68   691.875  221.219   1.436E-02   4.415E-04
   69   692.500  220.150   1.451E-02  -1.848E-03
   70   693.125  219.297   1.448E-02  -2.233E-03
   71   693.750  220.527   1.529E-02  -2.509E-03
   72   694.375  218.808   1.614E-02  -3.747E-03
   73   695.000  219.702   1.208E-02   4.556E-04
   74   695.625  219.949   1.690E-02  -5.970E-04
   75   696.250  218.965   1.554E-02  -3.925E-03
